date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:07:43	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:12%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/singlemuslimmoms-organization.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/singlemuslimmoms-organization.jpg	(from http://my-iddah.com/divorcee/)
02:07:44	32462/32462	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:24:14%20GMT	http://my-iddah.com/i-still-love-my-former-in-laws/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/i-still-love-my-former-in-laws/index.html	(from http://my-iddah.com/divorcee/)
02:07:45	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:14%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/istilllovemyformalinlaws-1.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/istilllovemyformalinlaws-1.jpg	(from http://my-iddah.com/divorcee/)
02:07:47	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:15%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/5stepstoahealthyrecovery-1.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/5stepstoahealthyrecovery-1.jpg	(from http://my-iddah.com/divorcee/)
02:07:49	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:18%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/4waystogetridofpostdivorce.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/4waystogetridofpostdivorce.jpg	(from http://my-iddah.com/divorcee/)
02:07:49	35289/35289	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:24:19%20GMT	http://my-iddah.com/4-ways-to-get-rid-of-post-divorce-bitterness/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/4-ways-to-get-rid-of-post-divorce-bitterness/index.html	(from http://my-iddah.com/divorcee/)
02:07:49	32890/32890	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:24:20%20GMT	http://my-iddah.com/struggle-a-poem-about-leaving/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/struggle-a-poem-about-leaving/index.html	(from http://my-iddah.com/divorcee/)
02:07:51	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:19%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/struggleapoemaboutleaving.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/struggleapoemaboutleaving.jpg	(from http://my-iddah.com/divorcee/)
02:07:52	31361/31361	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:24:22%20GMT	http://my-iddah.com/so-you-wanna-marry-a-single-mum/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/so-you-wanna-marry-a-single-mum/index.html	(from http://my-iddah.com/divorcee/)
02:07:55	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:22%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/Soyouwannamarryasinglemum....jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/Soyouwannamarryasinglemum....jpg	(from http://my-iddah.com/divorcee/)
02:07:56	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:26%20GMT	http://my-iddah.com/divorcee/index.html	C:/My%20Web%20Sites/my-iddah/my-iddah.com/divorcee/index-2.html	(from http://my-iddah.com/divorcee/)
02:07:57	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:27%20GMT	http://my-iddah.com/divorcee/myStory.html	C:/My%20Web%20Sites/my-iddah/my-iddah.com/divorcee/myStory.html	(from http://my-iddah.com/divorcee/)
02:07:59	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:28%20GMT	http://my-iddah.com/divorcee/books.html	C:/My%20Web%20Sites/my-iddah/my-iddah.com/divorcee/books.html	(from http://my-iddah.com/divorcee/)
02:08:00	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:30%20GMT	http://my-iddah.com/divorcee/articlesHome.html	C:/My%20Web%20Sites/my-iddah/my-iddah.com/divorcee/articlesHome.html	(from http://my-iddah.com/divorcee/)
02:08:01	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:31%20GMT	http://my-iddah.com/divorcee/Products.html	C:/My%20Web%20Sites/my-iddah/my-iddah.com/divorcee/Products.html	(from http://my-iddah.com/divorcee/)
02:08:01	2187/2187	---M--	200	added ('OK')	application/json	date:Thu,%2030%20Apr%202020%2000:24:32%20GMT	http://my-iddah.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmy-iddah.com%2Fvisitor%2F	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-json/oembed/1.0/embed66be.json	(from http://my-iddah.com/visitor/)
02:08:02	2284/2284	---M-Z	200	added ('OK')	text/xml	date:Thu,%2030%20Apr%202020%2000:24:32%20GMT	http://my-iddah.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmy-iddah.com%2Fvisitor%2F&format=xml	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-json/oembed/1.0/embedc498	(from http://my-iddah.com/visitor/)
02:08:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Apr%202020%2000:24:33%20GMT	http://my-iddah.com/?p=28	C:/My%20Web%20Sites/my-iddah/my-iddah.com/index3c55.html	(from http://my-iddah.com/visitor/)
02:08:03	30462/30462	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:24:33%20GMT	http://my-iddah.com/ditching-divorce-drama-video/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/ditching-divorce-drama-video/index.html	(from http://my-iddah.com/visitor/)
02:08:03	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:33%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/ditchingdivorcedramavideo-2.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/ditchingdivorcedramavideo-2.jpg	(from http://my-iddah.com/visitor/)
